city,title,artist,genre
New York,"Autumn in New York","Billie Holiday","Jazz"
New York,"Rhapsody in Blue","George Gershwin","Classical"
New York,"City of New Orleans","Arlo Guthrie","Country"
New York,"New York State of Mind","Billy Joel","Pop"
New York,"Start Spreading the News","Frank Sinatra","Rock"
New York,"Take the 'A' Train","Duke Ellington","Jazz"
New York,"Adagio for Strings","Samuel Barber","Classical"
New York,"I'm So Lonesome I Could Cry","Hank Williams","Country"
New York,"Welcome to New York","Taylor Swift","Pop"
New York,"Born to Run","Bruce Springsteen","Rock"
New York,"Stardust","Louis Armstrong","Jazz"
New York,"Appalachian Spring","Aaron Copland","Classical"
New York,"Ring of Fire","Johnny Cash","Country"
New York,"Jenny from the Block","Jennifer Lopez","Pop"
New York,"Living for the City","Stevie Wonder","Rock"
New York,"Round Midnight","Thelonious Monk","Jazz"
New York,"Symphony No. 9","Antonín Dvořák","Classical"
New York,"Take Me Home, Country Roads","John Denver","Country"
New Delhi,"Delhi-6","Rekha Bhardwaj","Pop"
New Delhi,"Rock On","Farhan Akhtar","Rock"
New Delhi,"Raga Jog","Pandit Ravi Shankar","Jazz"
New Delhi,"Vande Mataram","A. R. Rahman","Classical"
New Delhi,"Tum Hi Ho","Arijit Singh","Country"
New Delhi,"Kala Chashma","Amar Arshi, Badshah, Neha Kakkar","Pop"
New Delhi,"Pichle Saat Dinon Mein","Farhan Akhtar","Rock"
New Delhi,"Raga Bhairav","Ustad Bismillah Khan","Jazz"
New Delhi,"Jana Gana Mana","Various Artists","Classical"
New Delhi,"Mere Rashke Qamar","Rahat Fateh Ali Khan","Country"
New Delhi,"Chaiyya Chaiyya","Sukhwinder Singh","Pop"
New Delhi,"Sadda Haq","Mohit Chauhan","Rock"
New Delhi,"Raga Yaman","Pandit Ravi Shankar","Jazz"
New Delhi,"Saare Jahan Se Achha","Various Artists","Classical"
New Delhi,"Naina","Arijit Singh","Country"
New Delhi,"Tunak Tunak Tun","Daler Mehndi","Pop"
New Delhi,"Allah Ke Bande","Kailash Kher","Rock"
New Delhi,"Raga Kafi","Ustad Bismillah Khan","Jazz"
New Delhi,"Ma Tujhe Salaam","A. R. Rahman","Classical"
London,"A Day in the Life","The Beatles","Pop"
London,"While My Guitar Gently Weeps","The Beatles","Rock"
London,"All Blues","Miles Davis","Jazz"
London,"Symphony No. 5","Ludwig van Beethoven","Classical"
London,"Folsom Prison Blues","Johnny Cash","Country"
London,"Dancing Queen","ABBA","Pop"
London,"Wish You Were Here","Pink Floyd","Rock"
London,"Moanin'","Charles Mingus","Jazz"
London,"Rite of Spring","Igor Stravinsky","Classical"
London,"Ring of Fire","Johnny Cash","Country"
Tokyo,"Shinunoga E-Wa","Fujii Kaze","Pop"
Tokyo,"Koi","Gen Hoshino","Pop"
Tokyo,"Ain't No Sunshine","Sakamoto Ryuichi","Jazz"
Tokyo,"Gagaku","Traditional","Classical"
Tokyo,"Omoide No Maan","Ikimono Gakari","Pop"
Tokyo,"Hoshi no Koi","Aimer","Pop"
Tokyo,"Kaze wa Fuiteiru","AKB48","Pop"
Tokyo,"Sakura Sakura","Traditional","Classical"
Tokyo,"Taiko Drumming","Traditional","Jazz"
Tokyo,"Midnight Train to Tokyo","Yoshida Brothers","Country"
New York,"New York, New York","Liza Minnelli","Pop"
New York,"New York Minute","Billy Joel","Pop"
New York,"My Funny Valentine","Ella Fitzgerald","Jazz"
New York,"The Four Seasons","Antonio Vivaldi","Classical"
New York,"Jailhouse Rock","Elvis Presley","Rock"
New York,"Crazy","Patsy Cline","Country"
New York,"Take Five","Dave Brubeck","Jazz"
New York,"Lullaby of Birdland","Sarah Vaughan","Jazz"
New Delhi,"Tere Bina","A.R. Rahman","Pop"
New Delhi,"Pee Loon","Mohit Chauhan","Rock"
New Delhi,"Raga Marwa","Pandit Ravi Shankar","Jazz"
New Delhi,"Aye Mere Watan Ke Logon","Lata Mangeshkar","Classical"
New Delhi,"Dil Se","A.R. Rahman","Country"
New Delhi,"Mera Joota Hai Japani","Mohammad Rafi","Pop"
New Delhi,"Ae Mere Humsafar","Maanvi Gagroo","Pop"
New Delhi,"Keh Do Ke Tum","Kishore Kumar","Pop"
New Delhi,"Tera Ban Jaunga","Akhil Sachdeva","Pop"
